Institution Name,Product Name,Report Date,Availability of Credit Card Plan,State,State (Multiple),Pertains to Specific Counties?,Requirements for Opening,Requirements for Opening Types,Geographic Restrictions,Professional Affiliation,Requirements: Other,Secured Card,Targeted Credit Tiers,Purchase APR Offered?,Purchase APR Vary by Balance,Balance Range (From),Balance Range (To),APR - 2nd Tier,Balance Range (From) - 2nd Tier,Balance Range (To) - 2nd Tier,APR - 3rd Tier,Balance Range (From) - 3rd Tier,Balance Range (To) - 3rd Tier,APR - 4th Tier,Balance Range (From) - 4th Tier,Balance Range (To) - 4th Tier,Purchase APR Index,Variable Rate Index,Index,Purchase APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Introductory APR Offered?,Introductory APR Vary By Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Introductory APR,Balance Transfer Offered?,Balance Transfer APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Balance Transfer APR,Balance Transfer Grace Period,Cash Advance APR Offered?,Cash Advance APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Balance Computation Method,Balance Computation Method Details,Periodic Fee Type,Annual Fee,Monthly Fee,Weekly Fee,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Late Fees?,Late Fee Types,Amount (Dollars) - Late Payment Fee,Late Fee Six Month Billing Cycle,Late Fee Policy Details,Fee Varies?,Minimum,Maximum,Fee Explanation,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?,Minimum,Maximum,Fee Explanation,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Fee Varies?,Minimum,Maximum,Fee Explanation,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
TINKER FEDERAL CREDIT UNION,Visa Platinum,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,16.25%,13.75%,10.75%,3.99%,,18.00%,Yes,No,,,,3.99%,3.99%,3.99%,6,Yes,Yes,16.25%,13.75%,10.75%,4.99%,,18.00%,12,No,Yes,Yes,16.25%,13.75%,10.75%,11.00%,,18.00%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$22.00 ,,,,,,,No,,,,,,,,Yes,No,Return Check Fee,$20.00 ,Return one-party check fee,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration,,Travel-related rewards; Other rewards,Merchandise,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.tinkerfcu.org,18004564828,4/27/2023
VINTON COUNTY NATIONAL BANK,Consumer Credit Card,Data as of December 31,One State/Territory,OH,,Yes,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,,,,4.99%,4.99%,15.90%,Yes,No,,,,4.99%,4.99%,4.99%,6,Yes,No,,,,19.90%,19.90%,19.90%,24,No,Yes,No,,,,19.90%,19.90%,19.90%,Yes,25,Yes,$0.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,3.00% or $5.00,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$25.00 ,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Cashback rewards; Travel-related rewards,,Chip card; Mobile wallet provisioning,,Website,https://vcnbfamily.bank,,4/27/2023
FIRST NATIONAL BANK ALASKA,Standard consumer credit card,Data as of December 31,One State/Territory,AK,,No,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,No,,F,,,,,13.90%,13.90%,13.90%,No,,,,,,,,,Yes,No,,,,13.90%,13.90%,13.90%,0,No,Yes,No,,,,13.90%,13.90%,13.90%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",$5.00 ,3.00%,,"Either $5.00  or 3% of the amount of each cash advance, whichever is greater (no maximum fee)",,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",$5.00 ,3.00%,,"Either $5.00  or 3% of the amount of each cash advance, whichever is greater (no maximum fee)",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,up to $36 (will not exceed minimum payment due),,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Credit card registration; Other,credit card alerts,,,Chip card,,Phone; Website,https://www.fnbalaska.com,1-800-856-4362,4/28/2023
INDIANA MEMBERS CREDIT UNION,Premier Rewards,Data as of December 31,National,,,,No,Geographic Restrictions Beyond Place of Residence; Professional Affiliation,Must qualify be a member,must qualify to be a member,,No,Good credit (credit scores from 620 to 719),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,,,,1.90%,1.90%,25.00%,Yes,No,,,,1.90%,1.90%,1.90%,12000000,Yes,No,,,,1.90%,1.90%,1.90%,12,Yes,Yes,No,,,,1.90%,1.90%,1.90%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,1,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00 ,$25.00 ,,,,,,No,,,,,,,,Yes,Yes,statement copy fee,$5.00 ,if statement copies are requested,federal express card fee,$30.00 ,if a member request a credit card to be federal expressed to them for personal reasons,,,,,,,,,,,,,,,,Cashback rewards; Travel-related rewards; Other rewards,they can cash in points for misc products and gift cards,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.imcu.com,,4/28/2023
LOS ANGELES POLICE FEDERAL CREDIT UNION,Visa Platinum,Data as of December 31,National,,,,No,Other. Please Describe:,,,Must qualify for LAPFCU membership,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,17.90%,13.74%,10.65%,10.65%,,17.90%,Yes,No,,,,0.00%,0.00%,0.00%,6,Yes,Yes,17.90%,13.74%,10.65%,10.65%,,17.90%,12,No,Yes,Yes,17.90%,13.74%,10.65%,10.65%,,17.90%,No,,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$15.00 ,,,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$25.00 ,"When a payment is returned.,",,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,Cashback rewards; Travel-related rewards; Other rewards,Merchandise and gift cards.,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://lapfcu.org/,,4/28/2023
LOS ANGELES POLICE FEDERAL CREDIT UNION,Visa Classic,Data as of December 31,National,,,,No,Other. Please Describe:,,,Must qualify for membership with LAPFCU,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,No,,F,No,17.90%,15.99%,12.99%,12.99%,,17.90%,Yes,No,,,,0.00%,0.00%,0.00%,6,Yes,Yes,17.90%,15.00%,12.99%,12.99%,,17.90%,12,Yes,Yes,Yes,17.90%,15.99%,12.99%,12.99%,,17.90%,No,,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$15.00 ,,,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$25.00 ,Charged if a payment is returned.,,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://lapfcu.org/,,4/28/2023
NORTHWEST BANK,Northwest Loyalty VISA,Data as of December 31,Regional,,IN; NY; OH; PA,No,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,19.99%,11.99%,10.49%,8.24%,,21.99%,No,,,,,,,,,Yes,Yes,21.99%,16.99%,15.49%,13.24%,,21.99%,12,No,Yes,Yes,21.99%,16.99%,15.49%,13.24%,,21.99%,Yes,30,Yes,$0.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00 ,$35.00 ,,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$25.00 ,Up to $25.00 is charged when a payment is returned for any reason.,,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.northwest.com,1-877-672-5678,4/28/2023
"AMERICAN EAGLE FINANCIAL CREDIT UNION, INC.",Visa Platinum Credit Card,Data as of December 31,Regional,,CT; MA,Yes,No,Geographic Restrictions Beyond Place of Residence; Professional Affiliation; Other. Please Describe:,"Live in Hartford, Tolland, Middlesex or New Haven County in Connecticut or Hampden County in Massachusetts","Work in Hartford, Tolland, Middlesex or New Haven County in Connecticut or Hampden County in Massachusetts","Worship in Hartford, Tolland, Middlesex or New Haven County in Connecticut or Hampden County in Massachusetts OR any immediate family member of a current AEFCU member",No,Good credit (credit scores from 620 to 719),Yes,No,,,,,,,,,,,,Yes,Prime,V,,18.00%,17.75%,13.00%,13.65%,,18.00%,No,,,,,,,,,Yes,Yes,18.00%,17.75%,13.00%,13.65%,,18.00%,12,No,Yes,Yes,18.00%,17.75%,13.00%,13.65%,,18.00%,Yes,28,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00 ,$37.00 ,,,,,,No,,,,,,,,Yes,Yes,Returned Payment Fee,$25.00 ,On the date a payment is returned on the account for any reason,Overdraft Protection Fee,$10.00 ,"3%, min $10.00 for each time the card is used for overdraft protection on a deposit account.",,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Other,"Travel Accident Insurance, Concierge Service, Cell Phone Protection, Theft Only Protection",,,Chip card; Mobile wallet provisioning; Other,Card Controls,Phone; Website,https://www.americaneagle.org,800-842-0145,4/3/2023
ESL FEDERAL CREDIT UNION,ESL Rewards Visa Signature Credit Card,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,17.99%,17.50%,15.50%,15.50%,,17.99%,Yes,No,,,,0.00%,0.00%,0.00%,12,Yes,Yes,17.99%,17.50%,15.50%,15.50%,,17.99%,12,Yes,Yes,No,,,,17.90%,17.90%,17.90%,Yes,25,Yes,$0.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00 ,$25.00 ,,,,,,No,,,,,,,,Yes,No,Returned Payment,$25.00 ,You will pay a Returned Payment Charge of up to $25 if you pay us with a check that your bank will not honor or that is incomplete or if we return a check unpaid. The charge will be added to your Purchase Balance.,,,,,,,,,,,,,,,,,Automobile rental insurance; Discounts on purchases of goods and services (non travel related),,Cashback rewards; Travel-related rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.esl.org/personal/credit-cards/rewards-visa-signature-credit-card,585-336-1000,4/3/2023
"HOME BANK, NATIONAL ASSOCIATION",Visa Platinum Rewards,Data as of December 31,Regional,,LA; MI; TX,No,No,,,,,No,Good credit (credit scores from 620 to 719),Yes,No,,,,,,,,,,,,Yes,Prime,V,,14.25%,17.25%,19.25%,8.00%,,21.00%,No,,,,,,,,,Yes,Yes,14.25%,17.25%,19.25%,8.00%,,21.00%,6,No,Yes,No,,,,19.99%,19.99%,19.99%,Yes,25,No,,Average daily balance excluding new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,2.00%,$25.00 ,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$25.00 ,,,,,,,Yes,1. What is the amount of the overlimit fee when charged?,$30.00 ,,,,,,Yes,No,Returned Payment,$35.00 ,If payment posted to account is returned.,,,,,,,,,,,,,,,,,Credit card registration,,Cashback rewards; Travel-related rewards; Other rewards,"merchandise, gift cards, event tickets",Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.home24bank.com,1-866-401-9440,4/3/2023
"CITIZENS BANK, NATIONAL ASSOCIATION",Cash Back Plus,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,0.00%,17.24%,17.24%,14.00%,,28.24%,Yes,No,,,,0.00%,0.00%,0.00%,15,Yes,Yes,0.00%,17.24%,17.24%,14.00%,,28.24%,15,Yes,Yes,No,,,,25.99%,27.24%,27.99%,Yes,25,Yes,$1.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00 ,$40.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.citizensbank.com,8006842222,4/4/2023
FIRST TECHNOLOGY FEDERAL CREDIT UNION,Choice Rewards World MasterCard,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,18.00%,17.42%,12.13%,12.00%,,18.00%,No,,,,,,,,,Yes,No,,,,0.00%,0.00%,0.00%,12,No,Yes,Yes,18.00%,18.00%,13.13%,13.00%,,18.00%,Yes,21,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00 ,$25.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Cashback rewards; Travel-related rewards; Other rewards,Merchandise reimbursement using reward points,Chip card; Fee-free foreign transactions; Other,No balance transfer fees,Phone; Website,https://www.FirstTechFed.com,855-855-8805,4/4/2023
VYSTAR CREDIT UNION,Visa No Frills Platinum,Data as of December 31,National,,,,No,Other. Please Describe:,,,Must live in a sponsored county within our footprint.,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,16.13%,13.13%,11.73%,12.85%,,17.25%,No,,,,,,,,,Yes,Yes,16.13%,13.13%,11.73%,12.85%,,17.25%,12,No,Yes,Yes,16.13%,13.13%,11.73%,12.85%,,17.25%,Yes,10,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,"$25.00 or the amount of the required minimum payment, whichever is less, if you are 10 or more days late in making a payment.",,,,,No,,,,,,,,Yes,Yes,Returned Payment Fee,$25.00 ,"If a payment returns, the card is charged $25.00 or the amount of the required minimum payment, whichever is less,",Returned Convenience Check Fee,$25.00 ,"$25.00 or the amount of the returned convenience check, whichever is less.",Card Replacement Fee,$5.00 ,If the card has to be replaced.,Rush Fee,$25.00 ,If the plastic has to be rushed.,,,,,,,,,,,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.vystarcu.org/personal/borrow/credit-cards,1-877-366-3565,4/4/2023
FOUNDERS FEDERAL CREDIT UNION,Essential Mastercard,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,Yes,17.90%,15.25%,12.75%,12.75%,,17.90%,Yes,Yes,7.00%,6.00%,5.00%,5.00%,,7.00%,6,Yes,Yes,7.00%,6.00%,5.00%,5.00%,,7.00%,6,Yes,Yes,,,,,12.75%,,17.90%,Yes,30,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$1.00 ,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$35.00 ,,,,,,,No,,,,,,,,Yes,No,Returned Payment,$35.00 ,If payment is returned for any reason,,,,,,,,,,,,,,,,,,,,,,,Phone; Website,https://www.foundersfcu.com,800-845-1614,4/5/2023
GESA CREDIT UNION,Wise Card,Data as of December 31,One State/Territory,WA,,No,No,Geographic Restrictions Beyond Place of Residence,"You must live, work, or have an immediately family member that resides in Washington",,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),No,,,,,,,,,,,,,,,F,No,,,,,,,Yes,No,,,,0.00%,0.00%,0.00%,12,Yes,No,,,,0.00%,0.00%,0.00%,12,Yes,Yes,No,,,,6.99%,10.99%,18.99%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,2.50%,,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"1.00% of each foreign currency transaction in US dollars 
0.80% of each US dollar transaction that occurs in a foreign country.",,,,,Yes,1. What is the amount of the first late fee on the account?,$30.00 ,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.gesa.com/product/wise-card/,509-378-3100,4/5/2023
ONE NEVADA CREDIT UNION,Visa Signature Rewards,Data as of December 31,National,,,,No,Other. Please Describe:,,,credit union membership,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,22.00%,17.50%,14.50%,13.00%,,22.00%,No,,,,,,,,,Yes,No,,,,0.00%,0.00%,0.00%,12,Yes,Yes,Yes,22.00%,17.50%,14.50%,13.00%,,22.00%,Yes,25,Yes,$1.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$25.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,2.00%,$5.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$27.00 ,,,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$25.00 ,if a payment is returned for any reason,,,,,,,,,,,,,,,,,Automobile rental insurance; Debt cancellation coverage; Extension on manufacturer’s warranty; Other,Cellular Telephone Protection,Cashback rewards; Travel-related rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.onenevada.org,1-800-388-3000,4/6/2023
U.S. BANK NATIONAL ASSOCIATION - SAN FRANCISCO MAIN BRANCH,Union Bank Platinum,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,24.24%,21.24%,12.74%,12.74%,,24.24%,Yes,No,,,,0.00%,0.00%,0.00%,15,Yes,Yes,24.24%,21.24%,12.74%,12.74%,,24.24%,15,Yes,Yes,No,,,,29.50%,29.50%,29.50%,Yes,30,Yes,$1.75 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$27.00 ,,,,,,,No,,,,,,,,Yes,Yes,Overdraft Advance Fee,$10.00 ,Charged daily,Return Payment Fee,$25.00 ,$25 for first incident up to $35,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance,,,,Chip card; Mobile wallet provisioning,,Phone,,8886423311,4/6/2023
COMMUNITY CHOICE CREDIT UNION,SMART Card,Data as of December 31,National,,,,No,Geographic Restrictions Beyond Place of Residence,Must be qualified in our field of membership,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,20.99%,18.74%,17.74%,8.74%,,20.99%,No,,,,,,,,,Yes,No,,,,1.99%,1.99%,1.99%,12,Yes,Yes,No,,,,8.74%,17.74%,20.99%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,3.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00 ,$29.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.comchoicecu.org,,4/7/2023
COMMUNITY CHOICE CREDIT UNION,UNLimited Cash,Data as of December 31,National,,,,No,Geographic Restrictions Beyond Place of Residence,Must Qualify for field of membership,,,No,Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,20.99%,19.74%,18.74%,10.74%,,20.99%,Yes,No,,,,1.99%,1.99%,1.99%,12,Yes,No,,,,1.99%,1.99%,1.99%,12,No,Yes,No,,,,19.74%,19.74%,19.74%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,3.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00 ,$29.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance,,Cashback rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.comchoicecu.org,,4/7/2023
