,Provider,Product Name,State,Secured Card,Targeted Credit Tiers,APRVariableFixed,APR Credit 1,APR Credit 2,APR Credit 3,Introductory APR Offered?,Intro APR Credit 1,Intro APR Credit 2,Intro APR Credit 3,Intro APR Length,Balance Transfer APR Credit 1,Balance Transfer APR Credit 2,Balance Transfer APR Credit 3,Balance Transfer APR Length,Balance Transfer Grace Period,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Annualized Periodic Fees,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?.1,Minimum.1,Maximum.1,Fee Explanation.1,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?.2,Minimum.2,Maximum.2,Fee Explanation.2,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?.3,Minimum.3,Maximum.3,Fee Explanation.3,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?.4,Minimum.4,Maximum.4,Fee Explanation.4,Late Fee,Very Late Fee,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?.6,Minimum.6,Maximum.6,Fee Explanation.6,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name.1,Other Fee Amount.1,Other Fee Explanation.1,Other Fee Name.2,Other Fee Amount.2,Other Fee Explanation.2,Other Fee Name.3,Other Fee Amount.3,Other Fee Explanation.3,Other Fee Name.4,Other Fee Amount.4,Other Fee Explanation.4,Fee Varies?.7,Minimum.7,Maximum.7,Fee Explanation.7,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
346,"CAPITAL ONE, NATIONAL ASSOCIATION",Platinum Secured,,Yes,"""1""",V,999.0,26.99,999.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related),,,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
347,"CAPITAL ONE, NATIONAL ASSOCIATION",Quicksilver Rewards (ranged APR offering),,No,"""3""",V,999.0,999.0,23.99,Yes,999.0,999.0,0.0,15.0,999.0,999.0,0.0,12.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
348,"CAPITAL ONE, NATIONAL ASSOCIATION",Quicksilver Rewards for Good Credit,,No,"""2""",V,999.0,28.49,999.0,No,999.0,999.0,999.0,,999.0,0.0,0.0,12.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
349,"CAPITAL ONE, NATIONAL ASSOCIATION",QuicksilverOne Rewards,,No,"""1""",V,999.0,26.99,999.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,39.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
350,"CAPITAL ONE, NATIONAL ASSOCIATION",Quicksilver Rewards for Students,,No,"""123""",V,26.49,23.99,22.49,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
351,"CAPITAL ONE, NATIONAL ASSOCIATION",Quicksilver Rewards (non-ranged APR offering),,No,"""12""",V,999.0,26.99,999.0,Yes,0.0,0.0,0.0,9.0,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
352,"CAPITAL ONE, NATIONAL ASSOCIATION",Journey Rewards for Students,,No,"""123""",V,999.0,26.99,999.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Visa.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
353,"CAPITAL ONE, NATIONAL ASSOCIATION",Platinum Mastercard,,No,"""1""",V,999.0,28.49,999.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
354,"CAPITAL ONE, NATIONAL ASSOCIATION",Platinum Mastercard (targeted offering via pre-screen direct mail),,No,"""1""",V,999.0,28.24,999.0,Yes,0.0,0.0,0.0,9.0,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
355,"CAPITAL ONE, NATIONAL ASSOCIATION",Savor Rewards,,No,"""3""",V,999.0,999.0,23.99,No,999.0,999.0,999.0,,999.0,999.0,0.0,12.0,Yes,Yes,25.0,No,,95.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
356,"CAPITAL ONE, NATIONAL ASSOCIATION",SavorOne Rewards,,No,"""3""",V,999.0,999.0,22.49,Yes,999.0,999.0,0.0,15.0,999.0,999.0,0.0,12.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
357,"CAPITAL ONE, NATIONAL ASSOCIATION",SavorOne Rewards for Good Credit,,No,"""2""",V,999.0,28.49,999.0,No,999.0,999.0,999.0,,999.0,0.0,0.0,12.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
358,"CAPITAL ONE, NATIONAL ASSOCIATION",SavorOne Rewards for Students,,No,"""123""",V,26.49,23.99,22.49,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
359,"CAPITAL ONE, NATIONAL ASSOCIATION",SavorOne Rewards (targeted offering for existing customers),,No,"""2""",V,999.0,27.74,999.0,Yes,999.0,0.0,0.0,9.0,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
360,"CAPITAL ONE, NATIONAL ASSOCIATION",Venture Rewards,,No,"""3""",V,999.0,999.0,22.49,No,999.0,999.0,999.0,,999.0,999.0,0.0,12.0,Yes,Yes,25.0,No,,95.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Debt cancellation coverage; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Visa.,Travel-related rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
361,"CAPITAL ONE, NATIONAL ASSOCIATION",Venture X Rewards,,No,"""3""",V,999.0,999.0,23.99,No,999.0,999.0,999.0,,999.0,999.0,0.0,12.0,Yes,Yes,25.0,No,,395.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Visa.,Travel-related rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
362,"CAPITAL ONE, NATIONAL ASSOCIATION",VentureOne Rewards,,No,"""3""",V,999.0,999.0,22.49,Yes,999.0,999.0,0.0,15.0,999.0,999.0,0.0,12.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Travel-related rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
363,"CAPITAL ONE, NATIONAL ASSOCIATION",VentureOne Rewards for Good Credit,,No,"""2""",V,999.0,26.99,999.0,No,999.0,999.0,999.0,,999.0,0.0,0.0,12.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Travel-related rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/20/2023
364,CELTIC BANK CORPORATION,Indigo Product 602,,No,"""1""",V,24.9,24.9,24.9,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,30.0,Yes,$1.00 ,75.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",$5.00 ,5.00%,$5.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,29.0,40.0,Yes,1. What is the amount of the overlimit fee when charged?,$29.00 ,,,,,,Yes,No,Returned Payment Fee,$29.00 ,When a payment is returned unpaid.,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage,,,,Chip card,,Phone,,800-353-5920,4/20/2023
365,Comenity Capital Bank,Houzz Mastercard,,No,"""2""",V,999.0,28.74,26.49,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,30.0,41.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$30.00 ,"Returned Payment Fee: If you make a payment that is not honored, we charge a Returned Payment Fee even if the payment is honored on resubmission. The fee is $30.00 if you were not charged a Returned Payment Fee in the same or the prior six billing periods",Alternative Payment Method Fee,$15.00 ,"Alternative Payment Method Fee: We may allow you to make an expedited payment over the phone. If you do, we may charge a fee. Currently, that fee is up to $15. We’ll let you know the current fee before you authorize any payment and you can withdraw your r",,,,,,,,,,,,,,Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Mastercard ID Theft Protection, Priceless Experiences, Mastercard Golf, Mastercard Airport Concierge",Other rewards,$50 in Houzz Reward Dollars after you make your first purchase at Houzz; 5% back in Houzz Rewards on every Houzz purchase; 1% back in Houzz Rewards on purchases everywhere else Mastercard is accepted,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://d.comenity.net/ac/houzzmastercard/public/credit-card-agreement,1-800-853-2928,4/20/2023
366,"CREDIT ONE BANK, NATIONAL ASSOCIATION",Everyday Card,,No,"""1""",V,27.74,26.24,24.74,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,24.0,Yes,$1.00 ,99.0,,,,,,,,No,,,,,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $5 or 8% of the amount of each Balance Transfer, whichever is greater.",,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $5 or 8% of the amount of each Cash Advance, whichever is greater.",,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $1 or 3% of the amount of each purchase in U.S. dollars, whichever is greater.",,,,,29.0,39.0,No,,,,,,,,Yes,No,Returned Payment,$29.00 ,"If a payment is not honored upon first presentment, even if the payment is later honored, a Returned Payment Fee will be charged to your Account. Currently, the fee is $29 unless you incurred a Returned Payment Fee in the prior six billing cycles. If you ",,,,,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Debt cancellation coverage; Discounts on purchases of goods and services (non travel related); Other,Travel Insurance,Cashback rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.creditone.com/credit-cards,1-800-752-5493,4/20/2023
368,FIRST NATIONAL BANK OF OMAHA,Scheels® Secured Visa® Card,,Yes,"""123""",V,22.99,21.87,20.74,Yes,0.0,0.0,0.0,6.0,999.0,999.0,999.0,,,Yes,21.0,Yes,$1.75 ,35.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,40.0,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,"Roadside Dispatch, Visa Global Services",Other rewards,Scheels Gift Cards,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.scheels.com/visacard,,4/20/2023
369,FIRST NATIONAL BANK OF OMAHA,Houghton State Bank Secured Visa Card,IA,Yes,"""123""",V,27.99,999.0,22.99,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,21.0,Yes,$1.75 ,35.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,40.0,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Roadside Dispatch, Visa Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.houghtonstatebank.com/personal-banking/credit-cards/,,4/20/2023
370,FIRST NATIONAL BANK OF OMAHA,Landmands Bank Secured Visa Card,IA,Yes,"""123""",V,27.24,27.24,27.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,21.0,Yes,$1.75 ,35.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,40.0,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Roadside Dispatch, Visa Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.landmands.com/personal-banking/credit-cards/,,4/20/2023
371,FIRST NATIONAL BANK OF OMAHA,Landmark National Bank Secured Visa Card,KS,Yes,"""123""",V,27.99,26.49,22.99,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,21.0,Yes,$1.75 ,35.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,40.0,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Roadside Dispatch, Visa Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.banklandmark.com/personal/additional-personal-services/personal-credit-cards/,,4/20/2023
372,FIRST NATIONAL BANK OF OMAHA,Old National Secured Visa Card,IL; IN; KY; MI; MN; WI,Yes,"""123""",V,27.99,26.12,22.99,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,21.0,Yes,$1.75 ,35.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,29.0,40.0,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Roadside Dispatch, Visa Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.oldnational.com/personal/other-loans/credit-cards/,,4/20/2023
